Key,Type,Severity,Component,Line,Message,Effort,RuleName,HowToFix,Tags
3abe16da-5d66-4566-9aaa-56d46bcb85d3,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,25,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
450eced7-dbc7-44bd-a166-2f0326439cdd,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,109,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
74860872-c88c-4ea1-a328-b226ee504b5d,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,123,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
97b24e66-7eb9-41a9-907f-1c3d5e258e22,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,171,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
aa70f0c8-ed45-4d44-b8d7-30ca96c79308,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/LocalLLM.jsx,18,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
b8f4b1a2-7e0b-4214-859d-5c33588118fa,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/LocalLLM.jsx,34,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
40ce67b8-6f46-46e7-bb86-79eab26e7f93,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,28,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",5min,"Optional chaining should be preferred","",""
91eb8a64-5783-4a18-b482-ab184cafdc4e,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,116,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
8c70ce5b-dfb3-443f-9668-a6171d629976,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,127,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
c768f5cc-a8ee-403d-a3f0-ed13287b0538,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,32,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
4011e4c0-6f56-447a-b461-700427fd85e6,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,46,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
5c510723-565e-4a28-a887-093b70f9d660,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,59,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
6ac2454f-a9a3-4bb0-b66e-c05bfb5dd3d0,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,73,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
53c58eea-93bf-425d-810b-550f79c2c804,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,97,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
a9aef204-a801-4d6e-b5fd-9a7e46aabd57,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,117,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
9a870937-797e-492c-82c0-ff92a715996b,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,130,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
a3e5e392-aa7c-490e-967a-2e605846e849,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,138,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
1d92cf64-f1c2-46df-812e-4ef3535593c6,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/RobotFramework.jsx,157,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
